District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,,
Ahmednagar,1999 - 2000,"3,10,600.00","1,78,300.00",0.57,19.08,34.306,25.288,16.776,4.812,4.11,,,
Ahmednagar,2000 - 2001,"3,26,100.00","1,87,300.00",0.57,19.43,33.96,25.564,16.616,4.434,3.714,,,
Ahmednagar,2001 - 2002,"1,94,400.00","82,000.00",0.42,19.174,34.01,25.318,16.754,4.68,4.02,,,
Ahmednagar,2002 - 2003,"2,18,400.00","1,58,900.00",0.73,19.36,35.34,25.938,16.548,4.88,4.194,,,
Ahmednagar,2003 - 2004,"2,04,100.00","70,800.00",0.35,19.662,34.912,25.854,16.85,5.348,4.192,,,
Ahmednagar,2004 - 2005,"2,40,500.00","1,43,400.00",0.6,19.206,33.146,25.178,16.574,4.172,4.042,,,
Ahmednagar,2005 - 2006,"2,17,700.00","54,800.00",0.25,19.522,33.312,25.21,17.194,7.054,4.074,,,
Ahmednagar,2006 - 2007,"2,43,900.00","1,48,900.00",0.61,19.646,32.116,25.01,17.182,6.758,4.03,,,
Ahmednagar,2007 - 2008,"2,32,600.00","1,74,100.00",0.75,19.308,32.676,25.156,17.042,5.452,3.792,,,
Ahmednagar,2008 - 2009,"1,28,200.00","92,400.00",0.72,18.906,34.042,25.252,16.644,5.464,3.712,,,
Ahmednagar,2009 - 2010,"1,90,700.00","1,15,400.00",0.61,19.734,34.154,25.924,16.694,4.826,3.944,,,
Ahmednagar,2010 - 2011,"1,96,000.00","1,86,800.00",0.95,19.342,32.978,25.376,17.642,7.48,3.694,,,
Ahmednagar,2011 - 2012,"1,84,700.00","1,79,500.00",0.97,19.542,32.934,25.248,17.054,4.82,3.976,,,
Ahmednagar,2012 - 2013,"1,60,500.00","55,400.00",0.35,19.29,34.548,25.874,16.702,5.508,4.01,,,
Ahmednagar,2013 - 2014,"1,81,800.00","1,88,200.00",1.04,19.46,32.646,24.872,17.668,7.328,4.084,,,
Ahmednagar,2014 - 2015,"1,86,000.00","1,07,700.00",0.58,19.828,35.37,26.32,16.094,4.08,4.122,,,
Ahmednagar,2015 - 2016,"1,22,000.00","30,400.00",0.25,19.94,35.92,26.508,16.478,4.1,3.788,,,
Ahmednagar,2016 - 2017,"1,46,400.00","1,49,800.00",1.02,19.452,33.44,25.302,16.892,5.984,3.988,,,
Ahmednagar,2017 - 2018,"1,19,500.00","1,20,100.00",1.01,19.612,33.936,25.792,17.216,4.958,3.632,,,
Ahmednagar,2018 - 2019,"1,30,478.00","84,115.00",0.64,19.614,35.47,26.238,16.194,4.762,4.124,,,
Ahmednagar,2019 - 2020,"1,46,822.00","1,27,713.00",0.87,20.44,34.53,26.124,17.25,5.658,4.05,,,
Ahmednagar,2020 - 2021,"1,50,957.97","2,29,822.23",1.52,19.754,32.328,25.4,18.264,6.5,3.294,,,
Ahmednagar,2021 - 2022,"1,47,501.90","1,51,916.36",1.03,19.748,33.054,25.46,18.034,7.232,3.488,,,
Ahmednagar,2022 - 2023,"1,10,862.00","1,36,744.00",1.23,19.38,33.192,25.16,17.562,8.372,3.7,,,
Akola,1999 - 2000,"2,300.00","1,200.00",0.52,19.916,33.8,25.924,0,0,0,,,
Akola,2000 - 2001,"2,500.00","1,500.00",0.6,20.172,35.29,26.75,0,0,0,,,
Akola,2001 - 2002,"2,300.00",800,0.35,19.584,34.55,26.134,0,0,0,,,
Akola,2002 - 2003,"2,400.00","1,600.00",0.67,19.852,35.228,26.83,0,0,0,,,
Akola,2003 - 2004,"1,900.00",900,0.47,20.33,33.872,26.098,0,0,0,,,
Akola,2004 - 2005,"1,400.00",600,0.43,19.966,34.994,26.704,0,0,0,,,
Akola,2005 - 2006,"1,400.00",700,0.5,19.804,34.89,26.764,0,0,0,,,
Akola,2006 - 2007,"1,100.00",600,0.55,20.474,33.312,26.29,0,0,0,,,
Akola,2007 - 2008,900,500,0.56,19.718,33.716,26.214,0,0,0,,,
Akola,2008 - 2009,900,500,0.56,19.9,34.664,26.296,0,0,0,,,
Akola,2009 - 2010,600,400,0.67,20.306,34.614,27.106,0,0,0,,,
Akola,2010 - 2011,600,300,0.5,20.304,33.878,26.744,0,0,0,,,
Akola,2011 - 2012,500,300,0.6,20.336,34.06,26.228,0,0,0,,,
Akola,2012 - 2013,500,300,0.6,20.088,33.998,26.26,0,0,0,,,
Akola,2013 - 2014,200,100,0.5,20.352,33.272,25.624,0,0,0,,,
Akola,2014 - 2015,300,100,0.33,20.75,36.518,27.64,0,0,0,,,
Akola,2016 - 2017,100,36,0.36,20.026,33.544,26.254,0,0,0,,,
Akola,2017 - 2018,100,45,0.45,20.418,34.448,26.656,0,0,0,,,
Akola,2018 - 2019,136.1,19.9,0.15,19.942,34.926,26.302,0,0,0,,,
Akola,2019 - 2020,78,18,0.23,21.448,34.326,27.088,0,0,0,,,
Akola,2020 - 2021,77.78,36.72,0.47,20.544,33.398,26.484,0,0,0,,,
Akola,2021 - 2022,5.24,1.89,0.36,20.254,33.372,26.262,0,0,0,,,
Akola,2022 - 2023,"1,419.00",510,0.36,20.302,33.53,26.118,0,0,0,,,
Amravati,1999 - 2000,"1,000.00",500,0.5,19.92,33.908,26.058,16.866,6.216,4.18,,,
Amravati,2000 - 2001,900,500,0.56,20.218,35.248,26.786,16.364,4.178,3.852,,,
Amravati,2001 - 2002,"1,000.00",400,0.4,19.554,34.13,26.084,16.772,5.204,3.972,,,
Amravati,2002 - 2003,800,500,0.63,19.894,35.034,26.876,16.41,4.926,4.434,,,
Amravati,2003 - 2004,800,400,0.5,20.436,34.158,26.298,17.06,5.802,4.318,,,
Amravati,2004 - 2005,700,400,0.57,20.07,35.294,26.822,16.35,3.804,4.116,,,
Amravati,2005 - 2006,300,100,0.33,19.732,35.022,26.902,16.75,6.184,4.268,,,
Amravati,2006 - 2007,200,100,0.5,20.506,33.576,26.45,17.236,7.798,4.118,,,
Amravati,2007 - 2008,200,100,0.5,19.84,33.904,26.29,16.898,5.526,3.798,,,
