District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,,
Ahmednagar,1999 - 2000,"15,000.00","22,600.00",1.51,9.504,22.268,15.502,6.506,0.933,2.128,,,
Ahmednagar,2000 - 2001,"15,700.00","25,600.00",1.63,10.264,22.331,15.942,6.059,0.673,1.995,,,
Ahmednagar,2001 - 2002,"13,500.00","16,700.00",1.24,9.62,22.123,15.655,6.995,1.02,2.105,,,
Ahmednagar,2002 - 2003,"10,800.00","8,300.00",0.77,10.279,23.12,16.437,6.312,0.959,2.028,,,
Ahmednagar,2003 - 2004,"10,400.00","10,400.00",1,9.975,23,16.343,6.558,0.767,2.169,,,
Ahmednagar,2004 - 2005,"15,900.00","26,700.00",1.68,9.734,21.736,15.503,6.828,0.666,2.118,,,
Ahmednagar,2005 - 2006,"16,600.00","22,800.00",1.37,9.414,21.513,15.161,6.744,1.029,1.946,,,
Ahmednagar,2006 - 2007,"20,600.00","36,500.00",1.77,10.069,20.993,15.519,7.576,1.014,1.742,,,
Ahmednagar,2007 - 2008,"40,000.00","82,100.00",2.05,9.894,21.982,15.728,6.729,0.768,1.915,,,
Ahmednagar,2008 - 2009,"59,300.00","93,300.00",1.57,9.43,21.988,15.687,6.774,0.588,1.992,,,
Ahmednagar,2009 - 2010,"82,700.00","1,25,100.00",1.51,9.654,21.858,15.814,6.762,1.035,1.982,,,
Ahmednagar,2010 - 2011,"1,01,700.00","2,21,100.00",2.17,10.117,21.627,15.934,7.559,0.917,1.982,,,
Ahmednagar,2011 - 2012,"1,12,000.00","2,38,100.00",2.13,9.749,21.635,15.755,6.777,0.53,2.056,,,
Ahmednagar,2012 - 2013,"96,200.00","88,100.00",0.92,9.768,22.278,16.183,6.725,0.689,2.019,,,
Ahmednagar,2013 - 2014,"1,04,700.00","2,22,400.00",2.12,9.847,21.482,15.51,7.515,1.433,2.064,,,
Ahmednagar,2014 - 2015,"1,02,600.00","96,700.00",0.94,9.871,22.33,16.104,6.543,0.58,1.916,,,
Ahmednagar,2015 - 2016,"73,600.00","39,000.00",0.53,10.231,22.764,16.297,6.837,0.856,2.027,,,
Ahmednagar,2016 - 2017,"1,32,400.00","1,39,400.00",1.05,9.931,22.233,15.704,6.681,0.885,1.941,,,
Ahmednagar,2017 - 2018,"1,32,800.00","2,20,600.00",1.66,9.929,21.839,15.767,6.517,0.928,1.917,,,
Ahmednagar,2018 - 2019,"1,29,932.00","48,381.00",0.37,10.072,22.796,16.528,6.4,0.722,1.892,,,
Ahmednagar,2019 - 2020,"1,59,250.00","1,46,932.00",0.92,10.227,21.997,16.126,7.19,0.752,1.884,,,
Ahmednagar,2020 - 2021,"1,72,800.00","3,99,500.00",2.31,9.847,20.956,15.756,7.541,1.136,1.774,,,
Ahmednagar,2021 - 2022,"1,62,600.00","2,77,400.00",1.71,10.05,20.825,15.457,8.04,1.159,1.835,,,
Ahmednagar,2022 - 2023,"1,31,229.17","2,55,061.86",1.94,9.784,21.579,15.661,7.361,0.867,1.805,,,
Akola,1999 - 2000,"2,39,600.00","2,34,100.00",0.98,9.727,22.174,15.909,0,0,0,,,
Akola,2000 - 2001,"2,27,800.00","1,55,500.00",0.68,10.695,23.382,16.855,0,0,0,,,
Akola,2001 - 2002,"2,31,400.00","1,94,900.00",0.84,9.901,22.807,16.225,0,0,0,,,
Akola,2002 - 2003,"2,22,900.00","2,24,600.00",1.01,10.412,23.636,17.043,0,0,0,,,
Akola,2003 - 2004,"2,17,700.00","1,99,000.00",0.91,10.229,22.882,16.394,0,0,0,,,
Akola,2004 - 2005,"2,07,600.00","1,37,800.00",0.66,10.423,23.051,16.596,0,0,0,,,
Akola,2005 - 2006,"2,04,400.00","1,41,400.00",0.69,9.767,22.548,16.229,0,0,0,,,
Akola,2006 - 2007,"2,04,900.00","4,40,200.00",2.15,10.686,22.187,16.403,0,0,0,,,
Akola,2007 - 2008,"1,88,600.00","3,70,700.00",1.97,10.503,22.834,16.416,0,0,0,,,
