District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED,,
 Ahmednagar,1999 - 2000,800,700,0.88,17.202,34.24,24.63,15.284,3.498,3.854,,
 Ahmednagar,2000 - 2001,800,700,0.88,18.02,34.092,25.31,14.616,2.618,3.372,,
 Ahmednagar,2001 - 2002,200,100,0.5,17.366,34.114,24.814,15.494,3.312,3.658,,
 Ahmednagar,2002 - 2003,100,100,1,18.08,35.854,25.816,14.562,2.806,3.736,,
 Ahmednagar,2003 - 2004,100,200,2,18.39,35.39,25.72,15.488,3.886,3.86,,
 Ahmednagar,2004 - 2005,100,100,1,17.576,33.288,24.734,15.122,3.568,3.498,,
 Ahmednagar,2005 - 2006,100,100,1,17.512,33.006,24.194,15.548,5.882,3.72,,
 Ahmednagar,2006 - 2007,100,100,1,18.206,31.858,24.498,16.196,4.854,3.39,,
 Ahmednagar,2007 - 2008,100,100,1,17.222,32.948,24.502,15.488,4.014,3.468,,
 Ahmednagar,2008 - 2009,100,100,1,17.188,33.938,24.69,15.39,3.888,3.416,,
 Ahmednagar,2016 - 2017,"1,400.00",300,0.21,17.596,33.638,24.342,15.234,5.43,3.612,,
 Ahmednagar,2017 - 2018,"1,600.00","1,000.00",0.63,18.04,33.552,24.93,15.812,3.884,3.418,,
 Ahmednagar,2018 - 2019,"1,578.00",468,0.3,18.206,35.792,26.16,14.506,2.814,3.582,,
 Ahmednagar,2019 - 2020,"1,541.00",430,0.28,19.006,34.068,25.422,16.302,4.23,3.608,,
 Ahmednagar,2020 - 2021,"1,080.76",667.26,0.62,17.716,32.02,24.718,16.988,4.944,2.948,,
 Ahmednagar,2021 - 2022,921.41,"1,040.33",1.13,18.262,32.654,24.87,17.24,6.34,3.346,,
 Ahmednagar,2022 - 2023,426.97,243.89,0.57,17.286,32.766,24.212,16.092,7.032,3.372,,
Akola,1999 - 2000,"87,800.00","1,33,500.00",1.52,17.638,33.462,24.898,0,0,0,,
Akola,2000 - 2001,"86,100.00","1,42,500.00",1.66,18.64,35.884,26.426,0,0,0,,
Akola,2001 - 2002,"85,200.00","1,21,100.00",1.42,17.46,34.904,25.448,0,0,0,,
Akola,2002 - 2003,"83,100.00","1,62,500.00",1.96,18.376,35.886,26.484,0,0,0,,
Akola,2003 - 2004,"82,300.00","1,61,300.00",1.96,18.776,33.994,25.476,0,0,0,,
Akola,2004 - 2005,"82,200.00","1,08,300.00",1.32,18.232,35.312,26.242,0,0,0,,
Akola,2005 - 2006,"86,600.00","1,84,700.00",2.13,17.63,34.618,25.732,0,0,0,,
Akola,2006 - 2007,"84,500.00","2,05,800.00",2.44,19.022,33.35,25.724,0,0,0,,
Akola,2007 - 2008,"71,800.00","2,10,400.00",2.93,17.528,33.926,25.428,0,0,0,,
Akola,2008 - 2009,"46,500.00","1,02,800.00",2.21,17.854,34.94,25.652,0,0,0,,
Akola,2009 - 2010,"52,400.00","85,200.00",1.63,17.79,34.856,26.194,0,0,0,,
Akola,2010 - 2011,"51,200.00","39,400.00",0.77,19.162,33.688,26.208,0,0,0,,
Akola,2011 - 2012,"40,600.00","1,24,300.00",3.06,18.55,34.434,25.562,0,0,0,,
Akola,2012 - 2013,"41,600.00","71,800.00",1.73,17.8,34.106,25.484,0,0,0,,
Akola,2013 - 2014,"36,800.00","21,800.00",0.59,18.284,33.222,24.786,0,0,0,,
Akola,2014 - 2015,"12,500.00","15,100.00",1.21,19.098,36.886,27.16,0,0,0,,
Akola,2015 - 2016,"11,400.00","10,300.00",0.9,18.658,35.676,26.65,0,0,0,,
Akola,2016 - 2017,"11,300.00","16,700.00",1.48,18.11,33.772,25.298,0,0,0,,
Akola,2017 - 2018,"10,619.00","9,800.00",0.92,18.456,34.274,25.796,0,0,0,,
Akola,2018 - 2019,"9,825.00","13,373.00",1.36,18.414,35.558,26.124,0,0,0,,
Akola,2019 - 2020,"9,512.00","7,759.00",0.82,19.688,34.044,26.282,0,0,0,,
Akola,2020 - 2021,"6,973.00","5,376.39",0.77,18.458,33.258,25.54,0,0,0,,
Akola,2021 - 2022,"5,175.29","1,429.42",0.28,18.256,33.04,25.296,0,0,0,,
Akola,2022 - 2023,"2,243.27","1,219.89",0.54,17.932,33.266,25,0,0,0,,
Amravati,1999 - 2000,"1,17,000.00","1,30,600.00",1.12,17.526,33.558,25.006,15.37,4.564,3.77,,
Amravati,2000 - 2001,"1,18,700.00","1,70,100.00",1.43,18.672,35.798,26.388,13.992,2.764,3.474,,
Amravati,2001 - 2002,"1,09,000.00","1,52,800.00",1.4,17.384,34.344,25.318,15.31,3.868,3.568,,
Amravati,2002 - 2003,"1,02,900.00","1,44,000.00",1.4,18.236,35.574,26.39,14.368,3.008,3.916,,
Amravati,2003 - 2004,"1,00,200.00","1,43,100.00",1.43,18.834,34.078,25.584,15.72,4.314,3.93,,
Amravati,2004 - 2005,"92,800.00","88,700.00",0.96,18.27,35.556,26.266,14.832,3.158,3.504,,
Amravati,2005 - 2006,"94,100.00","1,23,800.00",1.32,17.436,34.396,25.718,14.968,4.972,3.85,,
Amravati,2006 - 2007,"94,700.00","1,11,500.00",1.18,19.058,33.43,25.822,16.148,5.138,3.418,,
Amravati,2007 - 2008,"77,900.00","1,05,800.00",1.36,17.57,33.918,25.396,15.21,4.094,3.432,,
Amravati,2008 - 2009,"40,300.00","36,700.00",0.91,17.668,34.544,25.464,15.092,3.596,3.438,,
Amravati,2009 - 2010,"49,100.00","52,700.00",1.07,17.838,34.674,26.262,15.186,4.314,3.808,,
Amravati,2010 - 2011,"48,400.00","51,700.00",1.07,19.264,33.686,26.278,16.888,5.118,3.632,,
Amravati,2011 - 2012,"39,700.00","58,300.00",1.47,18.502,34.466,25.564,15.47,3.796,3.588,,
Amravati,2012 - 2013,"37,700.00","49,000.00",1.3,17.7,34.044,25.448,15.652,4.864,3.614,,
Amravati,2013 - 2014,"35,200.00","22,700.00",0.64,18.38,33.314,24.838,16.45,6.722,3.816,,
Amravati,2014 - 2015,"26,800.00","27,400.00",1.02,19.156,36.904,27.182,14.32,3.424,4.068,,
Amravati,2015 - 2016,"25,400.00","18,500.00",0.73,18.72,35.436,26.584,15.254,3.374,3.63,,
Amravati,2016 - 2017,"23,900.00","29,400.00",1.23,18.116,33.752,25.394,15.068,5.452,3.636,,
Amravati,2017 - 2018,"18,341.00","17,500.00",0.95,18.646,34.498,26.064,15.558,3.392,3.538,,
Amravati,2018 - 2019,"16,391.00","11,716.00",0.71,18.556,35.462,26.168,14.582,3.618,3.484,,
Amravati,2019 - 2020,"13,918.00","4,649.00",0.33,19.616,34.308,26.416,16.172,4.172,3.762,,
Amravati,2020 - 2021,"13,925.00","11,137.00",0.8,18.274,33.088,25.53,16.72,4.376,2.89,,
Amravati,2021 - 2022,"14,696.32","12,337.56",0.84,18.172,33.114,25.338,17.076,6.422,3.392,,
Amravati,2022 - 2023,"11,144.73","5,359.50",0.48,17.9,33.488,25.128,16.006,7.224,3.494,,
Aurangabad,1999 - 2000,"28,000.00","36,100.00",1.29,19.296,34.818,26.174,15.292,2.464,4.784,,
Aurangabad,2000 - 2001,"27,200.00","24,400.00",0.9,19.804,33.708,26.344,15.92,2.9,4.004,,
Aurangabad,2001 - 2002,"25,900.00","27,500.00",1.06,19.672,34.564,26.442,16.024,3.784,4.49,,
Aurangabad,2002 - 2003,"24,400.00","34,400.00",1.41,19.904,36.144,27.07,15.5,3.176,4.334,,
