District,Year ,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Ahmednagar,1999 - 2000,"5,700.00","8,000.00",1.4,15.058,33.912,23.736,13.072,2.448,3.672
Ahmednagar,2000 - 2001,"5,500.00","3,800.00",0.69,16.342,34.094,24.544,11.786,2.212,3.34
Ahmednagar,2001 - 2002,"7,300.00","4,100.00",0.56,15.498,33.71,23.922,13.27,2.45,3.722
Ahmednagar,2002 - 2003,"7,400.00","1,700.00",0.23,16.418,35.682,25.344,12.34,2.306,3.554
Ahmednagar,2003 - 2004,"7,600.00","5,900.00",0.78,16.558,35.418,25.106,13.54,3.302,3.68
Ahmednagar,2004 - 2005,"8,000.00","5,800.00",0.73,15.776,33.374,23.874,12.788,2.614,3.502
Ahmednagar,2005 - 2006,"8,000.00","3,500.00",0.44,15.464,32.47,23.072,13.51,4.234,3.542
Ahmednagar,2006 - 2007,"8,400.00","6,600.00",0.79,16.2,31.426,23.516,14.454,2.818,3.284
Ahmednagar,2007 - 2008,"8,600.00","10,200.00",1.19,15.826,33.394,23.876,13.496,2.276,3.378
Ahmednagar,2008 - 2009,"9,300.00","9,100.00",0.98,15.894,34.046,24.18,13.448,2.192,3.26
Ahmednagar,2009 - 2010,"7,400.00","2,800.00",0.38,15.696,33.19,24.13,13.788,3.124,3.656
Ahmednagar,2010 - 2011,"7,500.00","7,000.00",0.93,16.112,32.238,23.94,15.344,4.056,3.362
Ahmednagar,2011 - 2012,"7,900.00","7,800.00",0.99,16.204,33.464,24.144,13.194,2.578,3.592
Ahmednagar,2012 - 2013,"7,500.00","4,600.00",0.61,15.712,34.614,24.966,13.604,3.028,3.512
Ahmednagar,2013 - 2014,"7,900.00","19,000.00",2.41,15.618,32.16,23.274,14.778,5.592,3.704
Ahmednagar,2014 - 2015,"8,600.00","2,200.00",0.26,16.05,35.366,24.77,12.482,2.118,3.756
Ahmednagar,2015 - 2016,"14,000.00","17,200.00",1.23,16.96,35.59,25.548,12.954,1.9,3.652
Ahmednagar,2016 - 2017,"15,000.00","26,200.00",1.75,15.652,33.888,23.55,13.068,3.708,3.39
Ahmednagar,2017 - 2018,"16,200.00","37,300.00",2.3,15.864,33.262,23.936,13.5,3.112,3.49
Ahmednagar,2018 - 2019,"16,245.00","6,711.00",0.41,15.938,35.444,25.252,12.64,2.508,3.554
Ahmednagar,2019 - 2020,"17,331.00","19,469.00",1.12,17.122,33.486,24.606,14.84,2.898,3.442
Ahmednagar,2020 - 2021,"17,595.34","33,172.49",1.89,15.458,31.43,23.66,15.028,3.77,2.952
Ahmednagar,2021 - 2022,"19,551.47","37,007.02",1.89,16.24,32.226,23.9,15.582,4.15,3.186
Ahmednagar,2022 - 2023,"20,579.65","34,228.07",1.66,15.262,32.446,23.52,14.562,5.628,3.238
Amravati,1999 - 2000,"8,800.00","5,600.00",0.64,14.762,33.318,23.62,13.224,3.102,3.516
Amravati,2000 - 2001,"8,900.00","4,400.00",0.49,16.676,35.876,25.514,11.1,2.504,3.36
Amravati,2001 - 2002,"10,300.00","9,700.00",0.94,15.164,33.954,24.076,13.114,3.094,3.552
Amravati,2002 - 2003,"11,000.00","7,200.00",0.65,16.556,35.858,25.91,12.052,2.506,3.614
Amravati,2003 - 2004,"10,200.00","6,000.00",0.59,16.11,34.12,24.402,13.728,3.594,3.66
Amravati,2004 - 2005,"9,600.00","4,200.00",0.44,16.17,35.622,25.216,12.324,2.408,3.488
Amravati,2005 - 2006,"10,200.00","5,000.00",0.49,15.234,33.81,24.28,12.746,3.392,3.694
Amravati,2006 - 2007,"8,500.00","4,600.00",0.54,16.992,33.268,24.806,14.316,3.292,3.316
Amravati,2007 - 2008,"6,300.00","5,200.00",0.83,16.016,34.352,24.466,13.1,2.532,3.384
Amravati,2008 - 2009,"4,500.00","1,800.00",0.4,16.036,34.872,24.788,12.934,1.916,3.272
Amravati,2009 - 2010,"4,300.00","6,200.00",1.44,15.824,34.138,25.066,13.414,3.776,3.666
Amravati,2010 - 2011,"3,800.00","2,800.00",0.74,17.048,33.21,24.954,15.128,3.95,3.498
Amravati,2011 - 2012,"4,100.00","3,100.00",0.76,16.614,34.79,24.664,13.222,2.604,3.424
