District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
Ahmednagar,1999 - 2000,"66,600.00","59,62,900.00",89.53,15.094,34.774,24.205,11.82,2.434,3.424
Ahmednagar,2000 - 2001,"67,100.00","51,63,900.00",76.96,15.637,34.791,24.477,11.073,2.334,3.276
Ahmednagar,2001 - 2002,"52,000.00","35,96,300.00",69.16,15.585,34.526,24.45,11.835,2.413,3.396
Ahmednagar,2002 - 2003,"49,400.00","33,03,000.00",66.86,15.843,35.636,25.101,11.599,2.533,3.484
Ahmednagar,2003 - 2004,"31,200.00","14,86,800.00",47.65,16.21,35.37,25.27,12.446,2.783,3.497
Ahmednagar,2004 - 2005,"17,000.00","10,01,800.00",58.93,15.72,34.159,24.48,11.916,2.264,3.359
Ahmednagar,2005 - 2006,"56,600.00","43,95,300.00",77.66,15.289,33.589,23.872,12.578,3.718,3.388
Ahmednagar,2006 - 2007,"93,500.00","61,37,800.00",65.64,15.673,32.974,23.976,12.927,3.691,3.264
Ahmednagar,2007 - 2008,"1,33,300.00","1,04,32,000.00",78.26,15.664,33.913,24.249,12.369,2.754,3.273
Ahmednagar,2008 - 2009,"77,500.00","55,64,800.00",71.8,15.023,34.136,24.29,12.355,3.067,3.16
Ahmednagar,2009 - 2010,"75,600.00","63,39,000.00",83.85,16.128,34.652,24.923,12.295,2.677,3.278
Ahmednagar,2010 - 2011,"1,26,000.00","1,15,16,400.00",91.4,16.034,33.305,24.499,13.443,3.999,3.181
Ahmednagar,2011 - 2012,"1,29,500.00","1,18,79,200.00",91.73,15.756,33.604,24.238,12.244,2.454,3.349
Ahmednagar,2012 - 2013,"1,15,500.00","82,35,700.00",71.3,14.959,35.055,24.809,11.914,2.811,3.416
Ahmednagar,2013 - 2014,"1,10,800.00","96,43,600.00",87.04,15.546,33.449,24.213,13.18,3.819,3.451
Ahmednagar,2014 - 2015,"1,22,000.00","1,17,61,000.00",96.4,15.221,34.719,24.505,12.405,2.375,3.452
Ahmednagar,2015 - 2016,"1,12,400.00","66,07,100.00",58.78,15.645,35.412,25.074,12.212,2.259,3.318
Ahmednagar,2016 - 2017,"60,972.00","41,81,400.00",68.58,15.691,34.707,24.408,12.098,3.053,3.348
Ahmednagar,2017 - 2018,"1,04,404.00","1,13,08,900.00",108.32,15.418,34.408,24.486,11.976,2.533,3.186
Ahmednagar,2018 - 2019,"1,34,486.00","1,27,76,170.00",95,15.984,35.506,25.183,11.34,2.45,3.365
Ahmednagar,2019 - 2020,"70,931.00","51,03,317.00",71.95,15.687,34.289,24.621,12.865,2.902,3.421
Ahmednagar,2020 - 2021,"1,09,977.00","1,19,45,130.44",108.61,15.276,32.727,23.976,13.969,3.384,3.072
Ahmednagar,2021 - 2022,"2,07,805.00","2,06,76,012.67",99.5,16.119,33.442,24.442,13.555,3.712,3.062
Ahmednagar,2022 - 2023,"1,60,000.00","1,76,00,000.00",110,15.178,33.473,23.958,13.256,4.379,3.159
 Akola,1999 - 2000,200,"18,300.00",91.5,15.146,34.136,24.105,0,0,0
 Akola,2000 - 2001,600,"48,800.00",81.33,15.595,35.467,24.866,0,0,0
 Akola,2001 - 2002,600,"44,100.00",73.5,15.348,34.997,24.759,0,0,0
 Akola,2002 - 2003,400,"28,000.00",70,15.874,35.68,25.373,0,0,0
 Akola,2003 - 2004,800,"48,000.00",60,15.466,34.386,24.681,0,0,0
 Akola,2004 - 2005,500,"19,200.00",38.4,15.756,35.373,25.155,0,0,0
 Akola,2005 - 2006,300,"20,900.00",69.67,15.201,34.523,24.547,0,0,0
 Akola,2006 - 2007,300,"22,700.00",75.67,16.336,33.998,24.769,0,0,0
 Akola,2007 - 2008,300,"16,100.00",53.67,15.924,34.669,24.858,0,0,0
 Akola,2008 - 2009,200,"9,000.00",45,15.377,34.869,24.902,0,0,0
 Akola,2009 - 2010,200,"15,700.00",78.5,16.336,35.092,25.535,0,0,0
