District,Year,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),MIN_TEMP,MAX_TEMP,AVG_TEMP,HUMIDITY,PRECIPITATION,WIND_SPEED
 Ahmednagar,1999 - 2000,"1,27,000.00","1,78,800.00",1.41,15.668,38.596,26.628,7.558,0.31,3.262
 Ahmednagar,2000 - 2001,"94,700.00","1,35,800.00",1.43,15.754,38.874,26.726,6.88,0.41,3.282
 Ahmednagar,2001 - 2002,"93,800.00","1,56,300.00",1.67,15.264,37.954,26.688,9.092,0.432,3.19
 Ahmednagar,2002 - 2003,"70,400.00","88,500.00",1.26,16.604,39.208,27.862,7.618,0.31,3.186
 Ahmednagar,2003 - 2004,"39,200.00","39,500.00",1.01,15.784,38.526,27.71,8.534,0.242,3.244
 Ahmednagar,2004 - 2005,"89,300.00","1,54,600.00",1.73,15.754,37.812,26.796,8.796,0.426,3.148
 Ahmednagar,2005 - 2006,"1,03,100.00","1,53,800.00",1.49,14.52,36.536,25.54,8.678,0.296,2.938
 Ahmednagar,2006 - 2007,"1,53,900.00","2,48,100.00",1.61,15.592,36.464,26.244,10.632,1.28,2.796
 Ahmednagar,2007 - 2008,"1,30,900.00","2,71,100.00",2.07,15.416,38.378,27.01,8.57,0.228,2.998
 Ahmednagar,2008 - 2009,"1,38,200.00","2,19,200.00",1.59,14.84,37.34,26.884,9.238,0.67,3.094
 Ahmednagar,2009 - 2010,"1,29,500.00","2,16,000.00",1.67,15.612,37.436,26.862,8.788,0.806,2.994
 Ahmednagar,2010 - 2011,"1,33,700.00","2,48,900.00",1.86,16.228,37.32,27.418,9.962,0.448,3.012
 Ahmednagar,2011 - 2012,"48,100.00","88,700.00",1.84,15.29,37.716,26.974,8.458,0.224,3.068
 Ahmednagar,2012 - 2013,"38,900.00","46,100.00",1.19,14.968,38.006,27.236,8.216,0.21,3.164
 Ahmednagar,2013 - 2014,"51,900.00","1,00,700.00",1.94,15.37,37.232,26.592,9.462,0.416,3.196
 Ahmednagar,2014 - 2015,"57,200.00","85,000.00",1.49,14.382,37.556,26.512,9.524,0.938,2.756
 Ahmednagar,2015 - 2016,"41,100.00","50,100.00",1.22,14.748,38.442,27.108,9.484,0.646,3.146
 Ahmednagar,2016 - 2017,"60,000.00","1,27,200.00",2.12,15.896,38.36,26.89,8.826,0.28,3.04
 Ahmednagar,2017 - 2018,"79,800.00","1,77,500.00",2.22,15.006,37.688,26.706,7.668,0.21,3.098
 Ahmednagar,2018 - 2019,"46,190.00","87,700.00",1.9,16.096,38.8,27.836,8.07,0.292,2.874
 Ahmednagar,2019 - 2020,"67,727.00","1,42,189.00",2.1,15.21,37.42,27.068,9.274,0.124,3.008
 Ahmednagar,2020 - 2021,"73,932.09","1,50,813.18",2.04,15.2,36.426,26.722,10.04,0.388,2.864
 Ahmednagar,2021 - 2022,"67,845.25","1,52,820.07",2.25,16.058,36.444,26.522,10.424,0.488,2.916
 Ahmednagar,2022 - 2023,"85,790.86","1,91,159.19",2.23,15.916,37.278,26.912,9.562,0.198,2.856
 Akola,1999 - 2000,"12,400.00","20,900.00",1.69,15.572,38.596,27.102,0,0,0
 Akola,2000 - 2001,"9,700.00","13,800.00",1.42,16.08,39.876,27.774,0,0,0
 Akola,2001 - 2002,"10,100.00","15,500.00",1.53,15.85,39.224,27.74,0,0,0
 Akola,2002 - 2003,"10,300.00","15,800.00",1.53,16.694,40.168,28.596,0,0,0
 Akola,2003 - 2004,"8,700.00","12,300.00",1.41,15.266,38.55,27.564,0,0,0
 Akola,2004 - 2005,"3,400.00","3,800.00",1.12,16.802,39.23,28.27,0,0,0
 Akola,2005 - 2006,"11,200.00","17,100.00",1.53,15.202,37.98,26.838,0,0,0
 Akola,2006 - 2007,"35,400.00","70,100.00",1.98,16.594,37.734,27.032,0,0,0
 Akola,2007 - 2008,"48,500.00","1,31,400.00",2.71,16.514,39.356,27.898,0,0,0
 Akola,2008 - 2009,"34,400.00","51,900.00",1.51,16.494,39.056,28.252,0,0,0
 Akola,2009 - 2010,"35,400.00","88,500.00",2.5,16.448,38.766,27.682,0,0,0
 Akola,2010 - 2011,"37,800.00","89,900.00",2.38,16.914,38.496,28.266,0,0,0
 Akola,2011 - 2012,"16,700.00","36,600.00",2.19,16.526,38.948,27.814,0,0,0
 Akola,2012 - 2013,"19,900.00","33,900.00",1.7,15.398,38.608,27.608,0,0,0
 Akola,2013 - 2014,"19,900.00","25,200.00",1.27,15.86,38.06,27.316,0,0,0
 Akola,2014 - 2015,"18,300.00","25,800.00",1.41,15.442,39.25,27.452,0,0,0
 Akola,2015 - 2016,"14,800.00","17,700.00",1.2,15.43,39.686,27.748,0,0,0
 Akola,2016 - 2017,"16,700.00","27,500.00",1.65,17.084,39.362,27.734,0,0,0
 Akola,2017 - 2018,"15,600.00","24,500.00",1.57,15.77,39.296,27.904,0,0,0
 Akola,2018 - 2019,"20,600.00","27,300.00",1.33,16.81,39.504,28.454,0,0,0
 Akola,2019 - 2020,"24,015.00","31,025.00",1.29,15.128,37.848,27.29,0,0,0
 Akola,2020 - 2021,"27,863.42","39,939.70",1.43,15.622,37.474,27.076,0,0,0
 Akola,2021 - 2022,"30,006.49","50,269.87",1.68,15.782,36.688,26.87,0,0,0
 Akola,2022 - 2023,"32,482.56","56,821.74",1.75,16.452,38.484,27.848,0,0,0
Amravati,1999 - 2000,"21,700.00","35,000.00",1.61,15.768,38.678,27.32,7.062,0.166,3.424
Amravati,2000 - 2001,"13,400.00","17,000.00",1.27,16.478,39.884,27.986,5.842,0.436,3.48
Amravati,2001 - 2002,"11,300.00","15,000.00",1.33,16.028,39.104,27.71,8.322,0.404,3.322
Amravati,2002 - 2003,"11,100.00","11,500.00",1.04,17.032,40.072,28.722,6.802,0.322,3.42
Amravati,2003 - 2004,"11,600.00","14,400.00",1.24,15.556,38.33,27.596,7.996,0.296,3.434
Amravati,2004 - 2005,"10,300.00","12,000.00",1.17,17.14,39.302,28.438,7.628,0.382,3.294
Amravati,2005 - 2006,"17,000.00","23,300.00",1.37,15.426,37.72,26.804,7.636,0.23,3.192
Amravati,2006 - 2007,"25,400.00","42,500.00",1.67,16.7,37.752,27.122,10.068,1.162,3.002
Amravati,2007 - 2008,"53,700.00","1,01,500.00",1.89,16.68,39.16,28.012,7.654,0.18,3.17
Amravati,2008 - 2009,"45,400.00","63,000.00",1.39,16.754,38.868,28.198,8.036,0.254,3.32
Amravati,2009 - 2010,"49,300.00","97,300.00",1.97,16.874,38.88,27.978,8.084,0.884,3.368
Amravati,2010 - 2011,"54,700.00","1,05,400.00",1.93,17.178,38.476,28.434,9.096,0.384,3.4
Amravati,2011 - 2012,"32,500.00","58,900.00",1.81,16.722,38.64,27.764,8.088,0.264,3.238
Amravati,2012 - 2013,"36,100.00","71,500.00",1.98,15.624,38.452,27.802,7.602,0.096,3.494
Amravati,2013 - 2014,"42,000.00","65,000.00",1.55,16.232,38.076,27.508,8.48,0.162,3.402
Amravati,2014 - 2015,"66,400.00","87,200.00",1.31,15.646,39.388,27.556,8.448,0.674,2.972
